,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,
baseline,0.0025,0.04,0.04,0.015,0.04,0.0275,0.04,0.04,0.0025,0.0025,0.015,0.0025,0.0025,0.0025,0.015,0.0025,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.015,0.04,0.0025,0.0025,0.0025,0.015,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.0275,0.04,0.015,0.0275,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.04,0.04,0.04,0.04,0.0275,0.04,0.015,0.04,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.04,0.015,0.04,0.0275,0.04,0.0025,0.0025,0.0025,0.0275,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.0275,0.04,0.0025,0.0025,0.0025,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.017970297,1.815
power1,0.0025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014876238,1.5025
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.027252475,2.7525
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.039628713,4.0025
6points,0.0025,0.04,0.04,0.015,0.019166667,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0275,0.04,0.04,0.035833333,0.015,0.015,0.019166667,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.04,0.04,0.04,0.015,0.015,0.035833333,0.035833333,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.04,0.04,0.015,0.015,0.015,0.035833333,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.04,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.018382838,1.856666667
9points,0.0025,0.035833333,0.035833333,0.023333333,0.031666667,0.031666667,0.031666667,0.019166667,0.019166667,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.031666667,0.035833333,0.023333333,0.0275,0.0275,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.019166667,0.010833333,0.010833333,0.010833333,0.010833333,0.031666667,0.035833333,0.035833333,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.019166667,0.019166667,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.031666667,0.035833333,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.019166667,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.019166667,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.010833333,0.010833333,0.006666667,0.006666667,0.006666667,0.010833333,0.006666667,0.006666667,0.010833333,0.006666667,0.006666667,0.006666667,0.010833333,0.018011551,1.819166667
15points,0.0025,0.04,0.04,0.035833333,0.031666667,0.023333333,0.0275,0.031666667,0.019166667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.035833333,0.035833333,0.035833333,0.035833333,0.035833333,0.035833333,0.04,0.023333333,0.023333333,0.019166667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.035833333,0.035833333,0.035833333,0.035833333,0.035833333,0.035833333,0.031666667,0.023333333,0.023333333,0.019166667,0.006666667,0.006666667,0.019166667,0.006666667,0.006666667,0.035833333,0.035833333,0.035833333,0.035833333,0.031666667,0.023333333,0.0275,0.019166667,0.019166667,0.006666667,0.019166667,0.006666667,0.006666667,0.006666667,0.006666667,0.04,0.0275,0.0275,0.019166667,0.019166667,0.006666667,0.019166667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.019166667,0.019166667,0.019166667,0.019166667,0.019166667,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.019084158,1.9275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,3,
baseline,10.48,7.14,3.49,4.02,2.32,1.77,1.26,0.89,1.16,1.2,1.08,1.07,1.06,1.07,0.93,0.92,30.28,20.77,12.21,7.39,5.11,3.43,2.45,1.84,1.21,1.23,0.87,0.95,0.97,0.97,0.86,23.95,18.18,9.51,5.62,3.77,2.77,1.88,1.47,0.93,0.96,0.85,0.92,0.93,0.94,0.94,14.72,10.12,5.88,3.77,2.49,1.91,1.65,1.08,1.09,0.8,0.87,0.9,0.9,0.9,0.9,5.2,3.69,2.25,2.11,1.32,1.09,0.82,0.95,0.98,0.98,0.78,0.81,0.81,0.8,0.79,4.06,2.54,1.69,1.15,1.32,1.32,1.32,1.06,0.99,0.96,0.93,0.92,0.9,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,3.02,
power1,10.48,9.11,6.36,4.34,3.1,3.23,3.1,2.47,1.91,1.52,1.35,1.23,1.13,1.01,0.89,0.79,23.19,18.3,15.25,12.91,10.92,8.85,6.98,5.59,4.71,4.09,3.48,2.89,2.44,2.16,1.96,19.36,15.79,12.87,10.98,9.26,7.72,6.28,5.14,4.35,3.73,3.18,2.74,2.36,2.05,1.81,12.77,9.38,7.94,7.31,6.1,4.92,4.01,3.37,2.91,2.53,2.17,1.85,1.58,1.36,1.19,4.63,3.55,2.97,2.63,2.27,1.9,1.62,1.41,1.23,1.09,0.97,0.86,0.77,0.69,0.63,3.17,2.29,1.87,1.67,1.37,1.06,0.81,0.61,0.46,0.35,0.26,0.18,0.14,0.12,0.11,0.11,0.12,0.14,0.15,0.18,0.2,0.21,0.23,0.24,13.86,4.06,
power2,10.48,7.94,4.47,2.52,2.12,1.77,1.46,1.03,0.71,0.63,0.57,0.5,0.44,0.4,0.37,0.35,18.58,11.52,8.18,6.01,4.58,3.51,2.74,2.14,1.63,1.28,1.03,0.87,0.74,0.64,0.56,16.35,11.35,8.4,6.04,4.55,3.44,2.59,1.98,1.54,1.24,1,0.81,0.68,0.58,0.51,9.72,6.88,5.04,3.66,2.69,2.09,1.63,1.29,1.04,0.85,0.7,0.59,0.51,0.46,0.42,3.37,2.41,1.84,1.39,1.08,0.88,0.73,0.62,0.54,0.47,0.43,0.39,0.37,0.35,0.34,2.73,1.77,1.21,0.77,0.46,0.29,0.18,0.12,0.12,0.14,0.18,0.21,0.24,0.25,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,2.23,
power3,10.48,7.14,3.49,1.77,1.53,1.07,0.73,0.56,0.46,0.41,0.37,0.34,0.33,0.32,0.31,0.31,21.62,12.77,6.88,3.76,2.22,1.51,1.11,0.85,0.66,0.53,0.45,0.4,0.36,0.34,0.33,14.53,8.29,5.27,3.26,2.15,1.52,1.1,0.82,0.65,0.53,0.45,0.4,0.36,0.34,0.33,8.4,5.17,3.21,2.07,1.42,1.06,0.8,0.64,0.53,0.45,0.39,0.36,0.34,0.32,0.32,2.89,1.81,1.22,0.86,0.66,0.54,0.46,0.4,0.37,0.34,0.33,0.32,0.31,0.31,0.3,2.33,1.21,0.63,0.3,0.15,0.1,0.14,0.2,0.23,0.25,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.68,
6points,10.48,7.83,3.85,4.12,3.19,2.56,2.21,1.8,1.61,1.46,1.34,1.21,1.11,1.01,0.9,0.81,27.7,16.06,10.34,5.81,3.74,3.82,4.24,3.47,2.66,2.19,1.91,1.71,1.51,1.3,1.16,19.9,12.18,8.29,5.1,4.53,4.16,2.7,1.64,1.48,1.29,1.1,0.99,0.87,0.77,0.7,14.66,8.4,5.36,4.97,3.97,3.67,2.35,1.92,1.65,1.38,1.24,1.11,0.95,0.85,0.77,5.51,3.32,2.63,2.17,1.78,1.54,1.37,1.19,1.03,0.91,0.81,0.72,0.65,0.6,0.55,3.25,2.39,2.04,1.62,1.23,0.97,0.77,0.6,0.46,0.35,0.28,0.22,0.16,0.11,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.23,0.24,2.9,
9points,10.48,6.88,3.58,2.46,1.7,1.22,1.01,0.91,0.69,0.7,0.69,0.66,0.62,0.58,0.52,0.46,22.76,14.33,10.16,7.52,5.28,3.97,2.75,1.9,1.36,0.92,0.68,0.65,0.65,0.6,0.54,19.12,11.44,8.23,5.24,3.91,2.45,1.84,1.39,1.04,0.94,0.79,0.75,0.68,0.63,0.58,11.16,7.1,4.81,3.48,2.4,1.59,1.15,0.89,0.82,0.81,0.76,0.7,0.65,0.6,0.56,3.89,2.56,1.95,1.4,1.06,0.78,0.7,0.68,0.64,0.59,0.56,0.52,0.49,0.46,0.44,2.94,2.38,2.44,2.63,2.67,2.68,2.51,2.3,2.16,2.04,1.91,1.74,1.66,1.13,1.16,1.18,1.18,1.09,1.09,1,0.9,0.85,0.77,0.7,0.72,2.6,
15points,10.48,7.14,3.49,1.83,1.69,1.67,1.34,0.96,0.9,1,1.01,0.95,0.88,0.82,0.77,0.73,19.17,13.34,7.83,5.98,4.68,3.47,2.37,1.44,1.26,1.11,0.9,1.01,1,0.96,0.93,19.74,13.5,8.25,5.78,3.99,2.83,1.9,1.53,1.45,1.17,1.04,1.11,1.05,0.91,0.89,13.44,8.57,4.98,3.35,2.26,1.81,1.7,1.21,1.11,0.98,1.01,0.91,0.85,0.79,0.76,3.82,2.14,2.06,1.59,1.38,1.21,1.12,1.01,0.96,0.88,0.84,0.8,0.76,0.72,0.68,2.68,1.67,1.39,1.01,0.73,0.49,0.45,0.36,0.28,0.22,0.17,0.13,0.12,0.11,0.11,0.14,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27,2.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,
baseline,10.48,7.14,3.49,4.02,2.32,1.77,1.26,0.89,1.16,1.2,1.08,1.07,1.06,1.07,0.93,0.92,30.28,20.77,12.21,7.39,5.11,3.43,2.45,1.84,1.21,1.23,0.87,0.95,0.97,0.97,0.86,23.95,18.18,9.51,5.62,3.77,2.77,1.88,1.47,0.93,0.96,0.85,0.92,0.93,0.94,0.94,14.72,10.12,5.88,3.77,2.49,1.91,1.65,1.08,1.09,0.8,0.87,0.9,0.9,0.9,0.9,5.2,3.69,2.25,2.11,1.32,1.09,0.82,0.95,0.98,0.98,0.78,0.81,0.81,0.8,0.79,4.06,2.54,1.69,1.15,1.32,1.32,1.32,1.06,0.99,0.96,0.93,0.92,0.9,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,,
power1,10.48,9.11,6.36,4.34,3.1,3.23,3.1,2.47,1.91,1.52,1.35,1.23,1.13,1.01,0.89,0.79,23.19,18.3,15.25,12.91,10.92,8.85,6.98,5.59,4.71,4.09,3.48,2.89,2.44,2.16,1.96,19.36,15.79,12.87,10.98,9.26,7.72,6.28,5.14,4.35,3.73,3.18,2.74,2.36,2.05,1.81,12.77,9.38,7.94,7.31,6.1,4.92,4.01,3.37,2.91,2.53,2.17,1.85,1.58,1.36,1.19,4.63,3.55,2.97,2.63,2.27,1.9,1.62,1.41,1.23,1.09,0.97,0.86,0.77,0.69,0.63,3.17,2.29,1.87,1.67,1.37,1.06,0.81,0.61,0.46,0.35,0.26,0.18,0.14,0.12,0.11,0.11,0.12,0.14,0.15,0.18,0.2,0.21,0.23,0.24,13.86,,
power2,10.48,7.94,4.47,2.52,2.12,1.77,1.46,1.03,0.71,0.63,0.57,0.5,0.44,0.4,0.37,0.35,18.58,11.52,8.18,6.01,4.58,3.51,2.74,2.14,1.63,1.28,1.03,0.87,0.74,0.64,0.56,16.35,11.35,8.4,6.04,4.55,3.44,2.59,1.98,1.54,1.24,1,0.81,0.68,0.58,0.51,9.72,6.88,5.04,3.66,2.69,2.09,1.63,1.29,1.04,0.85,0.7,0.59,0.51,0.46,0.42,3.37,2.41,1.84,1.39,1.08,0.88,0.73,0.62,0.54,0.47,0.43,0.39,0.37,0.35,0.34,2.73,1.77,1.21,0.77,0.46,0.29,0.18,0.12,0.12,0.14,0.18,0.21,0.24,0.25,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,,
power3,10.48,7.14,3.49,1.77,1.53,1.07,0.73,0.56,0.46,0.41,0.37,0.34,0.33,0.32,0.31,0.31,21.62,12.77,6.88,3.76,2.22,1.51,1.11,0.85,0.66,0.53,0.45,0.4,0.36,0.34,0.33,14.53,8.29,5.27,3.26,2.15,1.52,1.1,0.82,0.65,0.53,0.45,0.4,0.36,0.34,0.33,8.4,5.17,3.21,2.07,1.42,1.06,0.8,0.64,0.53,0.45,0.39,0.36,0.34,0.32,0.32,2.89,1.81,1.22,0.86,0.66,0.54,0.46,0.4,0.37,0.34,0.33,0.32,0.31,0.31,0.3,2.33,1.21,0.63,0.3,0.15,0.1,0.14,0.2,0.23,0.25,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
6points,10.48,7.83,3.85,4.12,3.19,2.56,2.21,1.8,1.61,1.46,1.34,1.21,1.11,1.01,0.9,0.81,27.7,16.06,10.34,5.81,3.74,3.82,4.24,3.47,2.66,2.19,1.91,1.71,1.51,1.3,1.16,19.9,12.18,8.29,5.1,4.53,4.16,2.7,1.64,1.48,1.29,1.1,0.99,0.87,0.77,0.7,14.66,8.4,5.36,4.97,3.97,3.67,2.35,1.92,1.65,1.38,1.24,1.11,0.95,0.85,0.77,5.51,3.32,2.63,2.17,1.78,1.54,1.37,1.19,1.03,0.91,0.81,0.72,0.65,0.6,0.55,3.25,2.39,2.04,1.62,1.23,0.97,0.77,0.6,0.46,0.35,0.28,0.22,0.16,0.11,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.23,0.24,,
9points,10.48,6.88,3.58,2.46,1.7,1.22,1.01,0.91,0.69,0.7,0.69,0.66,0.62,0.58,0.52,0.46,22.76,14.33,10.16,7.52,5.28,3.97,2.75,1.9,1.36,0.92,0.68,0.65,0.65,0.6,0.54,19.12,11.44,8.23,5.24,3.91,2.45,1.84,1.39,1.04,0.94,0.79,0.75,0.68,0.63,0.58,11.16,7.1,4.81,3.48,2.4,1.59,1.15,0.89,0.82,0.81,0.76,0.7,0.65,0.6,0.56,3.89,2.56,1.95,1.4,1.06,0.78,0.7,0.68,0.64,0.59,0.56,0.52,0.49,0.46,0.44,2.94,2.38,2.44,2.63,2.67,2.68,2.51,2.3,2.16,2.04,1.91,1.74,1.66,1.13,1.16,1.18,1.18,1.09,1.09,1,0.9,0.85,0.77,0.7,0.72,,
15points,10.48,7.14,3.49,1.83,1.69,1.67,1.34,0.96,0.9,1,1.01,0.95,0.88,0.82,0.77,0.73,19.17,13.34,7.83,5.98,4.68,3.47,2.37,1.44,1.26,1.11,0.9,1.01,1,0.96,0.93,19.74,13.5,8.25,5.78,3.99,2.83,1.9,1.53,1.45,1.17,1.04,1.11,1.05,0.91,0.89,13.44,8.57,4.98,3.35,2.26,1.81,1.7,1.21,1.11,0.98,1.01,0.91,0.85,0.79,0.76,3.82,2.14,2.06,1.59,1.38,1.21,1.12,1.01,0.96,0.88,0.84,0.8,0.76,0.72,0.68,2.68,1.67,1.39,1.01,0.73,0.49,0.45,0.36,0.28,0.22,0.17,0.13,0.12,0.11,0.11,0.14,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
power1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
power2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
power3,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79
6points,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,11
9points,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
15points,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
baseline,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,18
power1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,62
power2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
power3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
6points,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
9points,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,21
15points,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
