,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,sum,mean
baseline,11.866314601581353,7.331692805216257,8.071926495795143,5.6170613054293534,5.451529746876714,3.7284252720344275,3.0489685958960515,1.6909052114814709,1.072645234936743,0.7181011121418576,0.679549424282567,0.8268588935760823,0.8472492274895619,0.8562291987581516,0.8631877348068012,6.654267313047699,4.064963775018062,4.470579703714544,2.865110272026851,2.9239609004131575,1.899925221960496,1.661776188182928,1.0590851843460087,0.9979037861293004,0.8861136450239383,0.8057645645288567,0.7058971415391424,0.7646360950833478,0.7643388212992335,0.7567185978960054,0.7576432718891856,0.7381329131650999,0.7372617307571755,0.7404826567494144,0.7293282064214657,0.7372698966852624,0.7402987725633995,0.73375752046749,0.7415974288029519,0.7411159340997813,0.7410127254881855,0.7386669643999177,0.7455217349276143,0.7373055356658723,0.743585397235176,0.7378541638244956,0.7425035133325105,0.7398602555594054,0.7432929872153002,0.7446456004664656,98.76282328022828,1.9752564656045655
power1,8.97880236890489,6.342060793388571,4.734114319559135,3.773829018032881,3.0348200392271245,2.5602805373805047,2.1631009833897576,1.8748286582771436,1.6541015075220766,1.4348238981775565,1.237620859451913,1.0343842163246095,0.8939952752817282,0.8171452756926127,0.748858841390519,4.7736957257203665,3.7601379107611996,3.0822039405338235,2.554982649552943,2.201013029617624,1.913635413409767,1.6739318602441147,1.4300190649136388,1.2132858575332666,1.0504362740161044,0.930137287202181,0.8333852036759483,0.7537462337692143,0.6861299159185952,0.6283282660632437,0.5805581850889329,0.538987621033838,0.50160372600638,0.46747318340387084,0.4368047266516871,0.41029647305471395,0.38782446158724326,0.368946049784929,0.35338963729606765,0.3408741059976915,0.32988385653424707,0.31921480316355333,0.3086094158710483,0.29956005137005737,0.29274605761169153,0.2876710033983331,0.2836285845665521,0.2802822193512907,0.277482444819858,0.2751239606913759,76.10879579221641,1.5221759158443282
power2,8.97880236890489,5.337509773679564,3.603940551159419,2.575267256688619,1.8935440946880286,1.4681915653786621,1.1690324300803714,0.9500708408939059,0.7508075471166189,0.6337201514020727,0.49819836741571405,0.40975488830569534,0.36947763459609495,0.33944210438348205,0.3132814208161568,4.086631373929348,2.3840675518821475,1.6636529284947388,1.2398957665752577,0.9859462851724432,0.7975113001180623,0.6812904224852241,0.5774408442945818,0.4758522443667092,0.4115165001264759,0.3725146483559899,0.34355740173785726,0.3193417081870515,0.3018353396628279,0.2901477574612191,0.2820905280226582,0.2762256761913804,0.2718708626350372,0.2686881152141335,0.2663747006463764,0.26463497849352874,0.26328808491977185,0.26223452338660924,0.2614491684832763,0.26087905308012677,0.2604758417303672,0.2602168741021903,0.26004733740190067,0.25993643100010033,0.2598502563475136,0.2597728510837138,0.2596939035448287,0.25963493896293854,0.25959792729290954,0.2595873669416817,49.49879248784027,0.9899758497568054
power3,8.97880236890489,4.707648704212948,2.7270979441128427,1.8413089397363869,1.2417013253438087,0.8909077167142433,0.6830449080276341,0.5253552758083285,0.42738671847875764,0.3657520439163198,0.32235065042107686,0.2965112622795526,0.27981277633429885,0.2708165518490044,0.2656897134168704,3.6768840009406767,2.090738652323363,1.3176463719102198,0.9696102872407483,0.7245126439188486,0.5522010424712479,0.4378167482297814,0.3697908850481854,0.3274199724614145,0.3020620545205864,0.286883416389576,0.276102568324814,0.26909481942018976,0.26457721291338643,0.2615609101959278,0.2595164457533191,0.2581936816775143,0.2573345898959044,0.2567556475143963,0.25636183920660943,0.25609314923000426,0.25591610511778046,0.25581751952498066,0.25575957093898133,0.25571794225666117,0.2556936897378338,0.255672979765848,0.25567833340550006,0.25568795569029573,0.2557083111764288,0.25570857910421824,0.2557008811982797,0.25569522047487137,0.2556947747317955,0.2557058203234196,41.07550152259058,0.8215100304518116
our approach,8.97880236890489,5.034740276988453,3.0818602578232515,2.086182806622973,1.3830048138682525,1.0224469732816661,0.7775468923942152,0.7534643882175099,0.6557326912433895,0.6868006697963723,0.6120756912703336,0.5523340735975812,0.4692901159639525,0.44406525251827067,0.4030077642087286,5.054351704824496,2.636046554606314,1.7235958780596419,1.2451025913737812,1.0102810753259044,0.6888969602038946,0.7193983361296283,0.6694574010338196,0.6073403410408903,0.5623547161906147,0.4833819494215385,0.4610978897633945,0.4313780062926516,0.41133052133275716,0.39406412511767014,0.3838832283899708,0.3702304808941438,0.3562906355125766,0.34596484676484757,0.3388585158453232,0.3308226284208013,0.3252352892950864,0.32080373908308113,0.31620874483511824,0.3116553858938614,0.30728772641483054,0.30260660015520946,0.29839546680467677,0.2943522683461469,0.2907341746661345,0.28741673348160035,0.2843521341017521,0.282112030731538,0.2802050516566618,0.27835630192138405,50.345205070631586,1.0069041014126316
baseline,0.0025,0.04,0.0025,0.04,0.0025,0.04,0.0275,0.04,0.04,0.04,0.0275,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.0025,0.04,0.0025,0.04,0.014999999999999998,0.04,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.6124999999999999,0.012249999999999999
power1,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.7374999999999998,0.014749999999999996
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,1.35,0.027000000000000003
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.9625000000000004,0.03925000000000001
our approach,0.0025,0.03166666666666667,0.035833333333333335,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.014999999999999998,0.014999999999999998,0.010833333333333334,0.014999999999999998,0.010833333333333334,0.014999999999999998,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.03166666666666667,0.03166666666666667,0.035833333333333335,0.03166666666666667,0.03166666666666667,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.010833333333333334,0.014999999999999998,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.8041666666666667,0.016083333333333335
baseline,0.4290501870185364,14.960015477371874,3.720191593662842,8.70480466270528,2.9367379758524064,4.163013287984993,2.019684429717354,0.6964511343031029,0.26401623349421144,0.08973497838176063,0.05393107294831021,0.002892967814850734,0.0018619718660234695,0.0017834583132071027,0.0017241385723074753,17.674962421472394,10.08422184064249,3.5944663934738834,3.9263757718645604,1.7256557246387156,1.508348409020633,0.39916985110985354,0.28931070648942764,0.08795109172771708,0.08247313025488083,0.0532238032419469,0.03495966974420577,0.01331189076379142,0.010712439920752947,0.010730240386245855,0.008793067342880262,0.015565221430143831,0.015257214065890621,0.012052993900950089,0.016746474970471104,0.012042018492772219,0.010732894169187688,0.013829581983214484,0.01010534773465943,0.010350232761731285,0.010682088506022253,0.0119042621058787,0.009144069984274375,0.012671131811593734,0.009619206251058079,0.011691195642879437,0.009703436828112113,0.010476311383797106,0.00940745049909358,0.009022575384735226,77.77156373000791,1.5554312746001582
power1,4.0844973885846316e-07,11.926029448388244,11.456332800577506,9.409126326952343,6.75099639835762,3.8310538952171935,3.2631940098426466,3.063669333154296,2.003656526517196,1.2263131601273134,0.6299441969597461,0.3725606841395079,0.28346408793416267,0.20330307810891318,0.14060843453465427,18.778897396669937,11.857308365840794,5.401859052797317,3.390971699677412,2.301678886871115,1.5072333553419184,1.1156302506968212,0.8671038800178298,0.6347902963491413,0.44577376518292944,0.3071868934407781,0.21735303609001458,0.16035975737493163,0.12231149117627083,0.09351777821449653,0.07124179671749781,0.05463446052738382,0.042171420585997696,0.032218777481498456,0.02414026774386061,0.017952319411923667,0.013314583242410374,0.009975005366039534,0.00782317852242051,0.006540291048374295,0.0052612960836901325,0.003625590231679244,0.001992380722805071,0.001053194883649193,0.0006247956270786773,0.0004026050863877653,0.000267449982880204,0.00018035832575819883,0.00012294236520633839,8.438694317461549e-05,102.05585579590252,2.04111711591805
power2,4.0844973885846316e-07,11.498494023453482,9.043844211803195,6.269086619678424,2.8054435416956394,1.7570214901737728,1.1626299631006,0.7203601874061161,0.2809158049609665,0.17624301455387706,0.043171402479253336,0.019157163073573426,0.010180150520026836,0.004623579043120475,0.001914741564075212,15.493350179097055,3.0864804702267086,1.2803293401677813,0.6383701442234073,0.2849553643615818,0.1590755639914105,0.0910958335406617,0.05157742992592489,0.027163419982557682,0.013932021662651237,0.007562860918597151,0.004145669130098072,0.00218196747609269,0.0011138422570879888,0.0005698536161438653,0.0002943912964131099,0.00015119610836247707,7.816866670314452e-05,4.101311745429607e-05,2.1500007919168448e-05,1.1731152964521251e-05,6.855487523738011e-06,4.39180365987662e-06,3.6643974953979292e-06,3.6645858110112367e-06,3.901190397080346e-06,4.1435268697392355e-06,4.326866602280795e-06,4.484781636955332e-06,4.60362444054388e-06,4.698157608596654e-06,4.768651287709487e-06,4.832559911722041e-06,4.89697842290563e-06,4.925963623260057e-06,54.935652421458734,1.0987130484291747
power3,4.0844973885846316e-07,11.313541615718533,6.9783663328219765,2.954987905557776,1.024792943473124,0.4031290096483715,0.27445737486445976,0.10082314202696863,0.030549468752154092,0.008510615344630549,0.0029865973291880172,0.0011839201938133404,0.0003086312447100916,6.599692131362436e-05,2.7481565987145938e-05,14.283676702657365,2.488983824892984,0.7183117403827227,0.3229151161176405,0.13635827567994901,0.058427274805964005,0.026480093804825397,0.011077014362607626,0.004010102089954651,0.0014193156987720966,0.0005258101598586273,0.00019994516180704157,7.841737988748744e-05,3.401991625810481e-05,2.0078104612201016e-05,1.7462569292199007e-05,1.8548672301443845e-05,2.0496901172166558e-05,2.2117664028982948e-05,2.3241550891314547e-05,2.4110051485141984e-05,2.4694092813515782e-05,2.5199339400467953e-05,2.551143821553194e-05,2.569089060477889e-05,2.5740856640481516e-05,2.5656260870607864e-05,2.567376421008749e-05,2.5587181256494274e-05,2.5566944733505214e-05,2.552998283778286e-05,2.5536573086613874e-05,2.5575188527411793e-05,2.5567575950511724e-05,2.5482438222935598e-05,41.1467321650645,0.82293464330129
our approach,4.0844973885846316e-07,11.243265430416674,7.585123122440101,4.247368772299339,1.093751002527451,0.2768666521183307,0.1982555781749368,0.12429760443472627,0.10019266848029006,0.05584999069446704,0.04358520691574674,0.027095707157634118,0.02708731664984086,0.014812279808123089,0.011407088653975399,16.60237457149838,5.372640812602457,1.707199139377383,0.6479992460952095,0.30051063402977657,0.11638104964672487,0.06543873977192283,0.08588204911839716,0.06044950812263919,0.03223865199453152,0.028270134305583172,0.01672280896065571,0.014831503461961187,0.011797511316928534,0.009539765574915437,0.007085505363336684,0.005236926576989333,0.0042415352176412005,0.003171785880414552,0.002529639899388642,0.0020996746559482264,0.0018294757223202662,0.0015639917906854668,0.0012934249599618848,0.0010723435756038882,0.000876073096925004,0.000742754900418967,0.0005776941352212309,0.0004601826905364276,0.0003748588481062327,0.00030900305693969,0.00025641401053446854,0.0001974255186600768,0.00015241249940148953,0.00011960990215824846,50.155425687400026,1.0031085137480005
